"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 22 14:22:57 GMT 2024","Thu Aug 22 14:22:57 GMT 2024","1","chromeMobile","api.spec.ts","api fixture","","","Post issue; @post @api",""
"skipped","Thu Aug 22 14:22:57 GMT 2024","Thu Aug 22 14:22:57 GMT 2024","1","chromeMobile","api.spec.ts","api fixture","","","Delete issue; @delete @api",""
"passed","Thu Aug 22 14:22:59 GMT 2024","Thu Aug 22 14:23:00 GMT 2024","1332","chromeMobile","api.spec.ts","api fixture","","","Get issue by id; @get @api",""
"skipped","Thu Aug 22 14:22:57 GMT 2024","Thu Aug 22 14:22:57 GMT 2024","0","chromeMobile","api.spec.ts","api fixture","","","Edit issue; @edit @api",""
